deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
fake_1357.wav,2.9208314,3.5433316,3.57285,2.545369,3.5450373,NISQAv2
real_2227.wav,4.7609015,4.4653797,4.7319236,4.3243,4.6197295,NISQAv2
fake_1431.wav,2.9231427,2.303655,3.2006962,2.7583997,3.633677,NISQAv2
fake_2138.wav,2.952746,3.493261,3.8102121,2.4709558,3.64161,NISQAv2
fake_781.wav,4.0433826,4.077604,4.337017,3.487779,4.1169505,NISQAv2
fake_959.wav,2.9461567,3.6937342,4.0418277,2.6193106,3.5796278,NISQAv2
fake_1800.wav,2.1233413,2.415829,2.6138494,2.0354543,2.851907,NISQAv2
real_159.wav,3.8968897,4.049801,3.8970976,3.3659458,4.158715,NISQAv2
fake_1814.wav,2.3564713,2.2091813,3.632849,2.546662,3.3166733,NISQAv2
fake_795.wav,2.5824199,2.78308,3.2056162,2.2046974,3.3787751,NISQAv2
fake_1182.wav,2.4400046,2.8645184,2.7083662,2.3614905,3.367059,NISQAv2
real_32.wav,4.457697,3.9770133,4.478889,4.1556087,4.4992194,NISQAv2
fake_965.wav,3.4241354,3.6546571,3.9148085,3.102209,3.8805943,NISQAv2
real_617.wav,4.4065866,4.1447473,4.39753,4.2525373,4.449775,NISQAv2
real_171.wav,3.2506168,2.285474,4.034245,3.6483445,3.798542,NISQAv2
fake_1828.wav,3.5187385,2.1152956,4.508253,3.8385646,3.968049,NISQAv2
real_165.wav,4.21474,4.401528,4.4925346,4.0047197,4.414665,NISQAv2
real_26.wav,3.7138965,3.9389448,3.4698803,3.4369557,4.1006284,NISQAv2
real_1289.wav,1.762106,3.2363317,2.1847088,2.482994,3.5081615,NISQAv2
real_603.wav,4.588276,4.4134507,4.6513987,4.174584,4.541819,NISQAv2
fake_971.wav,3.6158822,3.0260816,3.7402413,3.0129113,3.8910143,NISQAv2
fake_1196.wav,2.7260714,3.128556,3.4899468,2.6414878,3.4999611,NISQAv2
fake_35.wav,2.975517,3.0764782,3.8179905,2.8174083,3.624915,NISQAv2
fake_2474.wav,2.4187472,2.5043585,3.3056319,2.593263,3.4004014,NISQAv2
fake_742.wav,3.3905191,3.7942178,4.177064,3.0020995,3.8332565,NISQAv2
real_830.wav,2.4358795,2.4711149,2.4920685,2.7786005,3.7682583,NISQAv2
real_1262.wav,3.9448268,2.5514193,4.3344164,4.0921865,4.1226745,NISQAv2
fake_2312.wav,2.9222634,3.5169291,3.7571566,2.4089231,3.6288664,NISQAv2
real_1504.wav,4.387339,4.0639915,4.451088,3.9284818,4.385346,NISQAv2
real_2019.wav,3.2285955,2.8853936,3.7787702,3.2727306,3.5060904,NISQAv2
fake_2306.wav,3.4960737,3.7994711,4.122755,3.2829978,3.8258939,NISQAv2
real_1510.wav,4.441593,4.3016453,4.7383113,4.434072,4.4892654,NISQAv2
real_824.wav,3.4081938,2.7615354,4.0051727,3.3015797,3.822921,NISQAv2
fake_2460.wav,2.2004273,2.3420403,3.6401136,2.6923723,3.1727026,NISQAv2
fake_756.wav,3.0803778,3.822273,3.8707492,2.7321177,3.698895,NISQAv2
